status,alias,product,component,version,hardware,importance,assignee
NEW,None,Platform,UI,3.2,PC Windows 2000,P3 major ,Anthony Hunter
NEW,None,Platform,UI,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal ,Carolyn MacLeod
NEW,None,Platform,UI,3.1,PC Windows XP,P3 enhancement ,Boris Bokowski
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 enhancement,Anthony Hunter
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement with 2 votes ,Platform-SWT-Inbox
NEW,None,WTP Webservices,wst.wsdl,1.5,PC Windows XP,P3 enhancement ,Project Inbox
NEW,None,Platform,User,3.2,PC Windows XP,P3 normal ,platform-ua-inbox
ASSIGNED,None,Platform,UI,3.2,PC Linux,P3 normal ,Platform UI Triaged
NEW,None,Platform,User,3.1,PC Windows XP,P3 normal ,platform-ua-inbox
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement ,Carolyn MacLeod
NEW,None,CDT,cdt-core,3.1,PC Linux,P3 normal ,Project Inbox
NEW,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Anthony Hunter
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P5 normal ,platform-cvs-inbox
NEW,None,CDT,cdt-debug,3.1,PC Linux,P3 major with 3 votes ,cdt-debug-inbox@eclipse.org
NEW,None,Mylyn,Core,unspecified,All All,P4 enhancement ,Project Inbox
NEW,None,WTP Source Editing,wst.xml,unspecified,PC Windows XP,P3 enhancement ,wst.xml-triaged
NEW,None,Platform,UI,3.2,All All,P3 enhancement ,Boris Bokowski
NEW,None,WTP Source Editing,wst.xml,unspecified,PC Windows XP,P3 normal ,wst.xml-triaged
NEW,None,GMF-Tooling,Core,2.0,PC Windows XP,P3 normal ,gmf.generation-inbox
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P5 normal with 1 vote ,platform-cvs-inbox
ASSIGNED,None,JDT,UI,3.1.2,PC Windows XP,P3 normal ,Markus Keller
NEW,None,Platform,UI,3.2,PC Windows XP,P3 enhancement ,Platform UI Triaged
NEW,None,WTP Source Editing,jst.jsp,1.5,PC Windows 2000,P4 normal ,jst.jsp
NEW,None,Platform,UI,3.2,PC Windows XP,P3 normal with 1 vote ,Platform UI Triaged
NEW,None,Platform,UI,3.2,PC Windows XP,P3 major ,Anthony Hunter
NEW,None,GMF-Runtime,General,1.0,PC Windows 2000,P3 normal,Anthony Hunter
NEW,None,GMF-Runtime,General,1.0,PC Windows 2000,P3 enhancement,Inbox
NEW,None,GMF-Tooling,Core,2.0,PC Linux,P3 major with 4 votes ,Michael Golubev
ASSIGNED,None,Platform,CVS,3.3,PC Linux,P5 normal ,platform-cvs-inbox
ASSIGNED,None,Platform,UI,3.2,PC Windows XP,P3 normal with 1 vote ,Platform UI Triaged
NEW,None,Platform,IDE,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,EPF,Tool,1.0,PC Windows XP,P3 enhancement ,epf.tool-inbox
NEW,None,Platform,User,3.2,PC Windows XP,P3 normal ,platform-ua-inbox
